,budget_rank,budget,domestic_gross,worldwide_gross,dom_profits,total_profits,budget_quart,profit_transform,dom_profit_transform,rating,critic_rating,aud_rating,release_date
The Patriot,250,110000000,113330342,215300000,3330342,105300000,102.411368908,19.1896320096,19.1398448452,24,0,0,
300: Rise of an Empire,251,110000000,106580051,330780051,-3419949,220780051,102.411368908,19.6183244407,19.1064073199,78,0,0,
The Aviator,252,110000000,102608827,208370892,-7391173,98370892,102.411368908,19.1569886254,19.0862005182,65,0,0,
The Green Hornet,253,110000000,98780042,229155503,-11219958,119155503,102.411368908,19.2518742439,19.0663240885,41,0,0,
Real Steel,254,110000000,85463309,263880341,-24536691,153880341,102.411368908,19.3927110861,18.9939437268,97,0,0,
The A-Team,255,110000000,77222099,177241171,-32777901,67241171,102.411368908,18.995558969,18.946375788,8,0,0,
The Smurfs 2,256,110000000,71017784,348547523,-38982216,238547523,102.411368908,19.6705760762,18.9090098378,28,0,0,
The Taking of Pelham 123,257,110000000,65452312,152364370,-44547688,42364370,102.411368908,18.8447360585,18.8742604421,13,0,0,
Ender's Game,258,110000000,61737191,89737191,-48262809,-20262809,102.411368908,18.3174006517,18.850373394,51,0,0,
Home on the Range,259,110000000,50026353,76482461,-59973647,-33517539,102.411368908,18.1584416108,18.7711099418,10,0,0,
Speed II: Cruise Control,260,110000000,48068396,150439315,-61931604,40439315,102.411368908,18.8320587166,18.7572223854,55,0,0,
Kingdom of Heaven,261,110000000,47398413,218853353,-62601587,108853353,102.411368908,19.2059676064,18.7524256386,38,0,0,
The Lord of the Rings: The Fellowship of the Ring,263,109000000,315544750,887217688,206544750,778217688,102.177818086,20.6052341917,19.8279683738,9,0,0,
The Cat in the Hat,264,109000000,101018283,133818283,-7981717,24818283,102.177818086,18.722772435,19.0831604686,73,0,0,
Ali,265,109000000,58183966,87683966,-50816034,-21316034,102.177818086,18.305653747,18.8336197661,13,0,0,
The Martian,266,108000000,219047062,559911261,111047062,451911261,101.942654691,20.1476554449,19.5616766328,85,0,0,
"I, Robot",267,105000000,144795350,348623912,39795350,243623912,101.227223443,19.6850169238,19.3033595553,49,0,0,
Stuart Little,268,105000000,140015224,298815224,35015224,193815224,101.227223443,19.5334111218,19.2833873279,99,0,0,
The Princess and the Frog,269,105000000,104400899,270997378,-599101,165997378,101.227223443,19.4375319216,19.1205166054,0,0,0,
"10,000 B.C.",270,105000000,94784201,269065678,-10215799,164065678,101.227223443,19.4305198136,19.0715753343,7,0,0,
Town & Country,271,105000000,6712451,10364769,-98287549,-94635231,101.227223443,16.5764701109,18.456566788,27,0,0,
Gone in 60 Seconds,272,103300000,101643008,232643008,-1656992,129343008,100.814982804,19.2952876517,19.11524856,10,0,0,
Gladiator,273,103000000,187683805,457683805,84683805,354683805,100.741707178,19.9578361951,19.4736857388,12,0,0,
The Hangover 3,274,103000000,112200072,362000072,9200072,259000072,100.741707178,19.7275268211,19.1680385761,30,0,0,
Public Enemies,275,102500000,97104620,212282709,-5395380,109782709,100.619224633,19.2101964123,19.0964067584,93,0,0,
Minority Report,277,102000000,132024714,358824714,30024714,256824714,100.496293157,19.7216213244,19.2621015181,13,0,0,
Cloud Atlas,278,102000000,27108272,130673154,-74891728,28673154,100.496293157,18.7508718384,18.6600880643,12,0,0,
Harry Potter and the Chamber of Secrets,279,100000000,261987880,878979634,161987880,778979634,100.0,20.6060912267,19.712469904,50,0,0,
Terminator 2: Judgment Day,280,100000000,201858746,513815401,101858746,413815401,100.0,20.0775090661,19.5318803687,22,0,0,
Batman Forever,281,100000000,183997904,336495936,83997904,236495936,100.0,19.6646802193,19.4712898462,91,0,0,
Planet of the Apes,282,100000000,180011740,362211740,80011740,262211740,100.0,19.7361823523,19.4572511647,86,0,0,
National Treasure,283,100000000,173005002,331323410,73005002,231323410,100.0,19.6496592397,19.4320864475,47,0,0,
Django Unchained,284,100000000,162805434,425373688,62805434,325373688,100.0,19.8927488895,19.3942842856,46,0,0,
Little Fockers,285,100000000,148438600,310650574,48438600,210650574,100.0,19.5872657004,19.3384900063,37,0,0,
True Lies,286,100000000,146273950,365291539,46273950,265291539,100.0,19.7444127128,19.3298069559,27,0,0,
American Gangster,287,100000000,130164645,267985456,30164645,167985456,100.0,19.4446977038,19.2627045754,76,0,0,
Cloudy with a Chance of Meatballs,288,100000000,124870275,236827677,24870275,136827677,100.0,19.3260234402,19.2396302573,60,0,0,
The Other Guys,289,100000000,119219978,170936470,19219978,70936470,100.0,19.0161418405,19.214402853,48,0,0,
Lemony Snicket's A Series of Unfortunate Events,290,100000000,118627117,212956024,18627117,112956024,100.0,19.2245024926,19.2117185812,68,0,0,
The Wolf of Wall Street,291,100000000,116900694,391976723,16900694,291976723,100.0,19.813024185,19.2038606348,8,0,0,
Epic,292,100000000,107518682,262794441,7518682,162794441,100.0,19.4258782265,19.1600433627,7,0,0,
Eraser,293,100000000,101283031,234387469,1283031,134387469,100.0,19.316106145,19.1298211091,56,0,0,
The Hunchback of Notre Dame,294,100000000,100117603,325478752,117603,225478752,100.0,19.6324103682,19.1240699158,88,0,0,
The Emperor's New Groove,295,100000000,89296573,169296573,-10703427,69296573,100.0,19.0070598354,19.0690287294,69,0,0,
The Expendables 2,296,100000000,85028192,311979256,-14971808,211979256,100.0,19.5913950595,19.0464561295,100,0,0,
Where the Wild Things Are,297,100000000,77233467,99123656,-22766533,-876344,100.0,18.5121097473,19.0038723567,6,0,0,
Eragon,298,100000000,75030163,249488115,-24969837,149488115,100.0,19.3759550724,18.9914991703,53,0,0,
The Tourist,300,100000000,67631157,278731369,-32368843,178731369,100.0,19.4825654605,18.9487909923,77,0,0,
End of Days,301,100000000,66889043,212026975,-33110957,112026975,100.0,19.2203352589,18.9444050055,72,0,0,
The Stepford Wives,302,100000000,59475623,96221971,-40524377,-3778029,100.0,18.4852712607,18.8995012898,92,0,0,
Surf's Up,303,100000000,58867694,145395745,-41132306,45395745,100.0,18.8643788148,18.8957279766,74,0,0,
Blood Diamond,304,100000000,57377916,171377916,-42622084,71377916,100.0,19.0185726123,18.8864205272,61,0,0,
Legend of the Guardians: The Owls of Ga'Hoole,305,100000000,55675313,139716717,-44324687,39716717,100.0,18.8272582931,18.8756762756,70,0,0,
Starship Troopers,306,100000000,54700065,121031113,-45299935,21031113,100.0,18.6943756125,18.8694695851,73,0,0,
Land of the Lost,307,100000000,49438370,69548641,-50561630,-30451359,100.0,18.1975232302,18.8353017487,37,0,0,
Catwoman,309,100000000,40202379,82145379,-59797621,-17854621,100.0,18.3437524092,18.7723490758,0,0,0,
The Expendables 3,310,100000000,39322544,209461378,-60677456,109461378,100.0,19.2087362964,18.7661400825,30,0,0,
Treasure Planet,311,100000000,38120554,91800000,-61879446,-8200000,100.0,18.4429337197,18.7575948473,49,0,0,
Green Zone,312,100000000,35053660,97079343,-64946340,-2920657,100.0,18.4932765771,18.7354548482,74,0,0,
Transcendence,313,100000000,23022309,103039258,-76977691,3039258,100.0,18.5472208797,18.643533293,32,0,0,
Son of the Mask,314,100000000,17018422,59918422,-82981578,-40081578,100.0,18.0692586085,18.5942956998,95,0,0,
The Spanish Prisoner,315,100000000,10162034,13835130,-89837966,-86164870,100.0,17.0053847522,18.5349318163,55,0,0,
The Adventures of Pluto Nash,316,100000000,4411102,7094995,-95588898,-92905005,100.0,16.6802930756,18.4822688827,27,0,0,
Jin líng shí san chai,317,100000000,311434,93721434,-99688566,-6278566,100.0,18.461550827,18.4429582964,49,0,0,
The Peanuts Movie,319,99000000,117674348,127474348,18674348,28474348,99.7490569934,18.749441826,19.2119326913,83,0,0,
The Mummy Returns,320,98000000,202007640,435040395,104007640,337040395,99.4962056393,19.9191661726,19.5389288519,28,0,0,
Gangs of New York,321,97000000,77730500,183124621,-19269500,86124621,99.2414117281,19.096553899,19.0232017731,85,0,0,
Ice Age: Continental Drift,324,95000000,161321843,879765137,66321843,784765137,98.7258544901,20.6125748942,19.4074790119,38,0,0,
Black Hawk Down,325,95000000,108638745,159691085,13638745,64691085,98.7258544901,18.9811037889,19.1888429345,88,0,0,
Sex and the City 2,326,95000000,95347692,294680778,347692,199680778,98.7258544901,19.5525054113,19.1252079903,56,0,0,
Percy Jackson & the Olympians: The Lightning Thief,327,95000000,88768303,223050874,-6231697,128050874,98.7258544901,19.2898845476,19.0921426085,8,0,0,
The Campaign,328,95000000,86907746,104907746,-8092254,9907746,98.7258544901,18.6059810932,19.0825904091,12,0,0,
Unstoppable,329,95000000,81562942,169511609,-13437058,74511609,98.7258544901,19.035660151,19.05463118,66,0,0,
The Fifth Element,330,95000000,63540020,263869158,-31459980,168869158,98.7258544901,19.4478664879,18.9541364118,19,0,0,
The Road to El Dorado,331,95000000,50802661,65700000,-44197339,-29300000,98.7258544901,18.2118128342,18.8764839098,19,0,0,
The Lovely Bones,332,95000000,44028238,94808454,-50971762,-191546,98.7258544901,18.5183399446,18.8325887785,70,0,0,
Seventh Son,333,95000000,17223265,110623265,-77776735,15623265,98.7258544901,18.6523756838,18.63711855,73,0,0,
Finding Nemo,334,94000000,380529370,936429370,286529370,842429370,98.4650177212,20.6749991284,20.0067900297,36,0,0,
The Lord of the Rings: The Return of the King,335,94000000,377845905,1141408667,283845905,1047408667,98.4650177212,20.8698383684,20.0012812794,19,0,0,
The Lord of the Rings: The Two Towers,336,94000000,342548984,934703179,248548984,840703179,98.4650177212,20.6731859335,19.9258471143,41,0,0,
Lara Croft: Tomb Raider,337,94000000,131144183,273330185,37144183,179330185,98.4650177212,19.4846340459,19.2923318033,71,0,0,
Jurassic Park III,338,93000000,181166115,365900000,88166115,272900000,98.2020914288,19.7644595993,19.4857618813,49,0,0,
Rise of the Planet of the Apes,339,93000000,176760185,482860185,83760185,389860185,98.2020914288,20.0307393178,19.4704581385,67,0,0,
The Spiderwick Chronicles,340,92500000,71195053,162839667,-21304947,70339667,98.0698324197,19.0128461914,19.0119965851,53,0,0,
The Incredibles,341,92000000,261441092,614726752,169441092,522726752,97.9370361336,20.2662605524,19.7327428525,27,0,0,
A Good Day to Die Hard,342,92000000,67349198,304249198,-24650802,212249198,97.9370361336,19.5922319217,18.9933002953,23,0,0,
Cutthroat Island,344,92000000,9833397,18333397,-82166603,-73666603,97.9370361336,17.4205637122,18.6011231864,39,0,0,
The Secret Life of Walter Mitty,345,91000000,58236838,188536838,-32763162,97536838,97.669811171,19.1529865204,18.9464629129,35,0,0,
Men in Black,346,90000000,250147615,587247615,160147615,497247615,97.4003746425,20.2251883707,19.7074004192,38,0,0,
Toy Story 2,347,90000000,245823397,511329494,155823397,421329494,97.4003746425,20.0917399315,19.695386116,36,0,0,
Rush Hour 2,348,90000000,226164286,347425832,136164286,257425832,97.4003746425,19.723256684,19.6388688514,27,0,0,
Sherlock Holmes,349,90000000,209028679,498438212,119028679,408438212,97.4003746425,20.0671994932,19.5868582188,30,0,0,
Ice Age: Dawn of the Dinosaurs,350,90000000,196573705,859701857,106573705,769701857,97.4003746425,20.5956052903,19.5472811068,50,0,0,
What Lies Beneath,351,90000000,155370362,288600000,65370362,198600000,97.4003746425,19.5490144171,19.4039258876,54,0,0,
Rio,352,90000000,143619809,487519809,53619809,397519809,97.4003746425,20.0459330491,19.3589721954,53,0,0,
The Departed,353,90000000,132384315,289660619,42384315,199660619,97.4003746425,19.5524404077,19.3140124673,92,0,0,
Charlie's Angels,354,90000000,125305545,259736090,35305545,169736090,97.4003746425,19.4509654113,19.2846117857,46,0,0,
Mulan,355,90000000,120618403,303498149,30618403,213498149,97.4003746425,19.5960947741,19.2646576275,2,0,0,
Tropic Thunder,356,90000000,110461307,191091250,20461307,101091250,97.4003746425,19.1699317169,19.2199999369,96,0,0,
The Girl with the Dragon Tattoo,357,90000000,102515793,239373970,12515793,149373970,97.4003746425,19.3755158527,19.1836203417,4,0,0,
Contact,358,90000000,100769177,165748848,10769177,75748848,97.4003746425,19.0423270356,19.1754426349,6,0,0,
You Don't Mess With the Zohan,359,90000000,100018837,202910991,10018837,112910991,97.4003746425,19.2243008978,19.1719088811,18,0,0,
Die Hard: With a Vengeance,360,90000000,99983259,366072426,9983259,276072426,97.4003746425,19.7727010737,19.1717410147,40,0,0,
Atlantis: The Lost Empire,361,90000000,84052762,186049020,-5947238,96049020,97.4003746425,19.1458073966,19.093595028,97,0,0,
Valkyrie,362,90000000,83077762,203902107,-6922238,113902107,97.4003746425,19.2287283606,19.0886079733,27,0,0,
Pixels,363,90000000,78747585,243566890,-11252415,153566890,97.4003746425,19.391524553,19.0661538938,86,0,0,
Artificial Intelligence: AI,364,90000000,78616689,235900000,-11383311,145900000,97.4003746425,19.3620552003,19.0654672207,32,0,0,
The Haunted Mansion,365,90000000,75817994,155750628,-14182006,65750628,97.4003746425,18.9871352091,19.0506714613,94,0,0,
Hollow Man,366,90000000,73209340,191200000,-16790660,101200000,97.4003746425,19.1704456684,19.0366804354,2,0,0,
The Interpreter,367,90000000,72515360,162561036,-17484640,72561036,97.4003746425,19.0250583374,19.0329252026,3,0,0,
Percy Jackson: Sea of Monsters,368,90000000,68559554,200859554,-21440446,110859554,97.4003746425,19.2150740698,19.0112461834,94,0,0,
Lara Croft: Tomb Raider: The Cradle of Life,369,90000000,65653758,157092943,-24346242,67092943,97.4003746425,18.9947244331,18.9950166799,96,0,0,
Spy Game,370,90000000,62362560,143049560,-27637440,53049560,97.4003746425,18.9123223374,18.9763107765,31,0,0,
The Saint,371,90000000,61355436,169392132,-28644564,79392132,97.4003746425,19.0617046753,18.9705160414,49,0,0,
Mission to Mars,372,90000000,60874615,106000000,-29125385,16000000,97.4003746425,18.655359445,18.9677376324,8,0,0,
Bicentennial Man,373,90000000,58220776,87420776,-31779224,-2579224,97.4003746425,18.4964467937,18.9522620525,79,0,0,
King Arthur,374,90000000,51877963,203877963,-38122037,113877963,97.4003746425,19.2286207384,18.9142744515,72,0,0,
Volcano,375,90000000,47474112,120027316,-42525888,30027316,97.4003746425,18.7605583045,18.887024139,28,0,0,
The Devil's Own,376,90000000,42877165,140891572,-47122835,50891572,97.4003746425,18.8990357408,18.8577639307,3,0,0,
K-19: The Widowmaker,377,90000000,35168966,65716126,-54831034,-24283874,97.4003746425,18.2717904972,18.8066931152,42,0,0,
The Three Musketeers,379,90000000,20374484,139874484,-69625516,49874484,97.4003746425,18.892711854,18.7007020854,61,0,0,
The Nutcracker in 3D,380,90000000,195459,20466016,-89804541,-69533984,97.4003746425,17.5270380484,18.5352299342,96,0,0,
Twister,381,88000000,241688385,495700000,153688385,407700000,96.8546928117,20.0657758007,19.6894005958,34,0,0,
Cinderella Man,382,88000000,61649911,105021488,-26350089,17021488,96.8546928117,18.6634051726,18.9836693063,56,0,0,
Fantastic Four,383,87500000,154695569,330716569,67195569,243216569,96.7168210134,19.683865816,19.4107306929,30,0,0,
Hannibal,384,87000000,165091986,350100000,78091986,263100000,96.5783570635,19.7385630703,19.4504191077,0,0,0,
Seabiscuit,385,86000000,120197488,148634976,34197488,62634976,96.2996287402,18.9692946208,19.2799303639,19,0,0,
Cast Away,386,85000000,233632142,427230516,148632142,342230516,96.0184589404,19.9306977066,19.6750808374,68,0,0,
Happy Feet,387,85000000,198000317,385000317,113000317,300000317,96.0184589404,19.8327660387,19.5678979035,5,0,0,
Ocean's Eleven,388,85000000,183417150,450728529,98417150,365728529,96.0184589404,19.981303911,19.5204872227,52,0,0,
The Bourne Supremacy,389,85000000,176087450,288587450,91087450,203587450,96.0184589404,19.5650235749,19.4957813567,56,0,0,
Air Force One,390,85000000,172620724,314932668,87620724,229932668,96.0184589404,19.6455817478,19.4838801498,11,0,0,
Fast & Furious,391,85000000,155064265,363064265,70064265,278064265,96.0184589404,19.7778410682,19.4213331609,45,0,0,
Horton Hears a Who,392,85000000,154529439,299477886,69529439,214477886,96.0184589404,19.5991145713,19.4193649936,43,0,0,
Divergent,393,85000000,150947895,276014965,65947895,191014965,96.0184589404,19.5241651678,19.4060840799,99,0,0,
Hotel Transylvania,394,85000000,148313048,345907363,63313048,260907363,96.0184589404,19.7326760512,19.3961998066,23,0,0,
Enchanted,395,85000000,127706877,340384141,42706877,255384141,96.0184589404,19.7176912835,19.3153318101,82,0,0,
Safe House,396,85000000,126181630,208542162,41181630,123542162,96.0184589404,19.2707992113,19.3090778446,49,0,0,
I Now Pronounce You Chuck and Larry,397,85000000,119725280,185708462,34725280,100708462,96.0184589404,19.1681205604,19.2821629619,44,0,0,
Ocean's Thirteen,398,85000000,117144465,311744465,32144465,226744465,96.0184589404,19.6361710871,19.271198213,50,0,0,
